bp_rp M_g
0.63351345 3.542744114726619
1.2766633 0.5607293211482007
0.53443336 0.4627564677908165
0.43271446 1.2365969367571399
0.82199764 4.720619506443175
-0.21586704 -0.48276929154559767
0.38629436 2.2600975735338764
0.18358326 -0.4719937513262238
0.018109322 0.5291795686045138
0.8226638 2.338291301033193
1.0838757 3.7856947153993294
0.08689213 0.89342620975287
1.1033273 0.4313688561371727
0.43367577 2.4731718863568215
0.6031647 3.368489053868708
0.4410801 1.6970419436113033
1.2235193 0.36462377667658785
1.2748685 0.6625123668855277
1.2519746 1.2847146998149706
0.54795647 3.1320043473066352
1.1536312 0.17775944308475644
0.7973995 4.588066502684087
1.302197 -0.26315021311485864
-0.013502121 1.0942009132684385
1.7553291 -1.48408710163997
0.7555542 3.4438604374076407
1.0586987 5.602197604361695
0.65797997 3.174649943276627
0.29610538 1.7486220477183707
1.2581801 0.8862020833316002
1.9155769 0.8746253890658284
0.7914858 4.503593081211254
0.8081069 4.551758801813392
0.59559345 2.988454582352013
-0.007847786 -0.06986350841197364
1.3840418 0.3261571264078844
0.688817 2.603931512726926
0.097155094 -0.3499620068912259
0.7730293 3.6379845525149808
0.8042221 3.444816793052534
1.1801667 0.5735136817905007
0.4314146 1.8400614515076343
0.54869556 -4.041004575044651
1.1897535 0.47805399502009216
1.69946 -1.5899169435959823
1.3928003 0.8660565283033588
0.46520138 2.6096026755960775
0.23007488 1.4080622563476997
0.090153694 -0.30935292480043763
1.4664125 0.07225944197647749
0.85281277 3.22047117571757
1.2714319 0.5543593865608436
1.4951515 -1.8857967153152657
0.23866081 0.0382282498139368
1.1912642 0.6159422634775726
0.08253193 -1.4607997509011579
1.4544604 -1.0611024956054118
-0.11253929 -0.1516695394565417
0.68079567 2.823996290126658
1.6791077 -1.252895650624728
0.6675935 1.2488836637703633
0.15802002 0.9448496869327148
0.89494133 4.60699724828306
0.22998238 0.7845075871322393
0.7046795 3.5367086212483887
1.0914907 0.057717928053608425
0.88960266 3.8383735459989774
1.8289161 -0.9398050804123095
0.69885015 1.4774134769840295
1.2998729 0.7342897690315038
0.7093382 1.5617887421088597
0.26533747 1.3607844598437255
1.3886385 -0.9463156698983113
0.6626959 4.019267800820233
0.55014944 1.4042508017979998
1.6795106 -1.9235879604425499
0.0060768127 0.7473100604197951
0.6456213 3.47249118174091
0.7778168 4.671715523636257
1.2567339 -0.07269566317043719
0.6485882 2.7595284703471563
0.67280674 3.7226912068860125
0.8150792 4.8042805440881695
1.1701922 0.29612992018557094
0.5996194 2.8040426354231274
-0.023812294 -0.9706553373581137
0.278306 1.7854750434787485
0.85691833 4.1035160983305445
0.97231865 5.229948449108426
1.0999842 0.8215685005259035
0.7638569 4.451995101086002
0.71239996 3.05491278703672
-0.12879133 -2.5659715542241184
0.22105503 0.6312096226349464
1.2487698 0.6090678770090863
0.18894672 -0.38825321540754043
1.8209386 -1.3328484272497434
1.2337303 1.0102873562431451
1.307724 0.22428557129493853
0.58641624 2.57149310127354
0.8436265 3.28715431177117
0.8058348 3.0185854556055904
0.023225784 1.137574115927034
-0.03435564 0.9179986777800853
0.67393684 2.7629727209045143
0.4798956 2.5152005245009397
0.56942177 0.04782789383834363
1.7227926 -1.290850879042388
0.83810806 3.923568604094074
0.82409143 4.209603372529723
0.47847843 2.895900081040157
0.36723614 1.2626078218804544
-0.0873394 -0.7663112095851119
0.45136642 2.3164078605552056
0.0120368 -1.0687331393115516
0.32311058 1.5608358630300518
0.59353733 3.4535374364525513
0.6742587 3.788667492860368
0.54323864 2.513544573062294
